No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
143764	ZSCR	551	034-1	NA	5WY8547	NA	A2C53402830	1341	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.31	S1_TG1C DCX_ (APROBACI	4957510500		
143765	ZSCR	551	034-1	NA	5WY8547	NA	A2C53402830	1341	parts kit assy TPM	NA	HALB	S.Real/AutoBF	48.31	S1_TG1C DCX_ (APROBACI	4957510500		
143766	ZSCR	551	034-2	NA	5WY8547	NA	A2C53311707	1342	housing	NA	ROH	NA	21.36	S1_TG1C DCX_ (APROBACI	4957513209		
143767	ZSCR	551	034-2	NA	A2C53345109	NA	A2C53402231	1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	332.78	S5_TG1C HONDA_ (APROBA	4957510664		
143768	ZSCR	551	034-2	NA	A2C31231300T	NA	A2C00032166	1342	"7,NPN,DARL,0.5A,50V,SO16,-40 to +105 C B"	NA	ROH	NA	12.6	S1_TIPM MEDIUM_ (APROB	4957513413		
143768	ZSCR	551	034-2	NA	A2C31231300T	NA	A2C40012828	1342	"T FET/VNN1NV04,MOS,POWER,SOT223"	NA	ROH	NA	41.1	S1_TIPM MEDIUM_ (APROB	4957513413		
143768	ZSCR	551	034-2	NA	A2C31231300T	NA	A2C40013016	1342	"D SC/MBR0530T1,30V,500mA,SOD123"	NA	ROH	NA	10	S1_TIPM MEDIUM_ (APROB	4957513413		
143768	ZSCR	551	034-2	NA	A2C31231300T	NA	A2C40015254	1342	"IC SMART POW/VND5004ASP30,MultiPowerSO-3"	NA	ROH	NA	375.8	S1_TIPM MEDIUM_ (APROB	4957513413		
143769	ZSCR	551	034-2	NA	5WY9011M	NA	A2C00062952	1342	"EX2-2K1J RELAY,POWER,TWIN,12V"	NA	ROH	NA	104.7	S1_TIPM MEDIUM_ (APROB	4957513324		
143770	ZSCR	551	030-1	NA	5WY9011M	NA	A2C40018533	1301	"EM RELAY,TBD,SINGLE,12V"	NA	ROH	NA	133.7	S1_TIPM MEDIUM_ (APROB	4957512784		
