No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
643663	21/07/2015	ZSCR	551	040-3	NA	'015	5WY8834	NA	A2C53328412	3	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914440
643663	21/07/2015	ZSCR	551	040-3	NA	'015	5WY8833	NA	A2C53338452	3	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914462
643665	21/07/2015	ZSCR	551	042-4	NA	'015	5WY8833	NA	A2C53338452	1	1424	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914532
643668	21/07/2015	ZSCR	551	042-4	NA	'015	5WY8835	NA	A2C53328411	4	1424	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914510
644066	22/07/2015	ZSCR	551	030-1	NA	'050	A2C53338452T	NA	A2C53338452T	8	1301	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914274
644067	22/07/2015	ZSCR	551	034-2	NA	'050	A2C53328412	NA	A2C53328412	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
644069	22/07/2015	ZSCR	551	034-2	NA	'050	A2C53328411	NA	A2C53328411	4	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914203
644139	22/07/2015	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	8	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
645270	25/07/2015	ZSCR	551	034-2	NA	'050	A2C8246570093	NA	A2C8246570093	2	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916374
645271	25/07/2015	ZSCR	551	034-2	NA	'050	A2C8676750093	NA	A2C8676750093	2	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916508
645275	25/07/2015	ZSCR	551	034-2	NA	'050	A2C8647920393	NA	A2C8647920393	1	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
