area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,SHAKER,CONECTOR DAÑADO,PROVEEDOR,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,CONECTOR DAÑADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,PIN DE CONECTOR SUMIDO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,PIN DE CONECTOR SUMIDO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,EXCESO DE PRUEBAS,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,MUESTRA DE ORO OBSOLETA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,PRUEBA DE INGENIERIA,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,SET UP DE EQUIPO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SHAKER,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PCB MAL CORTADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PCB MAL CORTADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTES DAÑADOS,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,COMPONENTES DAÑADOS,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,EXCESO DE PRUEBAS,MEDICION,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD DAÑADA POR EQUIPO-EOS,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTES DAÑADOS,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTES DAÑADOS,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,ICT,MATERIAL OBSOLETO,METODO,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SAWING,PCB MAL CORTADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SAWING,PCB MAL CORTADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SAWING,COMPONENTE ARRANCADO,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SAWING,COMPONENTE ARRANCADO,MAQUINA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SAWING,COMPONENTES DAÑADOS,MANO DE OBRA,PSAD,HYUNDAI
BACKEND/ENSAMBLE FINAL,SAWING,COMPONENTES DAÑADOS,MAQUINA,PSAD,HYUNDAI
