No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	050	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00024522	231	3011	050	 	1351	"C CER,X7R,1uF,10%,25V,0805,Sn,STANDARD"		ROH	NA	18.48	S1_RKE FOB CUSW_J.JORGE	NO	
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00025464	45	3011	050	 	1351	"R LIN,560R,5%,TK200,63mW,0402"		ROH	NA	0.45	S1_RKE FOB CUSW_J.JORGE	NO	
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00029765	66	3011	050	 	1351	"15nF,10%,25V,X7R,0402,TINNED,CER CAP/C10"		ROH	NA	0.66	S1_RKE FOB CUSW_J.JORGE	NO	
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00031067	8	3011	050	 	1351	"4pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/"		ROH	NA	0.16	S1_RKE FOB CUSW_J.JORGE	NO	
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00034028	45	3011	050	 	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"		ROH	NA	0.9	S1_RKE FOB CUSW_J.JORGE	NO	
561393	07/12/2014	ZSCR	551	035-1	0	'050	A2C3229710093	NA	A2C00047242	1	3011	050	 	1351	"2.36mH,30mA,SMD,LEADFREE_COIL/"		ROH	NA	2.07	S1_RKE FOB CUSW_J.JORGE	NO	
561398	07/12/2014	ZSCR	551	035-1	0	'050	A2C8216770093	NA	A2C00010444	19	3011	050	 	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"		ROH	NA	0.19	S1_WK_WD RFHUB_J.JORGE	NO	
561398	07/12/2014	ZSCR	551	035-1	0	'050	A2C8216770092	NA	A2C00018438	1	3011	050	 	1351	"R LIN,220K,5%,TK200,63mW,0402"		ROH	NA	0.01	S1_WK_WD RFHUB_J.JORGE	NO	
561398	07/12/2014	ZSCR	551	035-1	0	'050	A2C8216770093	NA	A2C00038706	1	3011	050	 	1351	"NUP2105L/350W,24V,SOT23,Dual SUP DIODE ("		ROH	NA	0.31	S1_WK_WD RFHUB_J.JORGE	NO	
561398	07/12/2014	ZSCR	551	035-1	0	'050	A2C8216770093	NA	A2C53331174	47	3011	050	 	1351	antenna		ROH	NA	79.43	S1_WK_WD RFHUB_J.JORGE	NO	
561405	07/12/2014	ZSCR	551	034-2	NA	'050	A2C3813640093	NA	A2C3813640093	160				1342	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) T"""	NA	HALB	S.Real/AutoBF	6188.8	S1_PASE FOB CUSW_A.ADRI	NO	4985200266
561415	07/12/2014	MB1A	551	010-4	95000021	'050	NA	NA	A2C7395980192	8				1104	pcb topSMD CHR UF 5-BTN top	QN410098771	HALB	S.Real	401.44	410098771_PASE F	NO	
561416	07/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340092	1				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	44.9	410098771_PASE F	NO	
561418	07/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C8393040092	5				1104	"""SUB FOBIK PCB TOP-ASM, NA/EU(P U L) B"""	QN410098771	HALB	S.Real	223.8	410098771_PASE F	NO	
561420	07/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C8393050092	2				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L RS) B"""	QN410098771	HALB	S.Real	95.58	410098771_PASE F	NO	
561423	07/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7395960192	9				1104	pcb topSMD CHR UF 4-BTN bottom	QN410098771	HALB	S.Real	424.44	410098771_PASE F	NO	
561425	07/12/2014	ZSCR	551	034-2	NA	'015	A2C7395960192	NA	A2C7395960192	3				1342	pcb topSMD CHR UF 4-BTN bottom	NA	HALB	S.Real	141.48	S1_PASE FOB CUSW_A.ADRI	NO	
561538	08/12/2014	ZSCR	551	040-4	NA	'015	A2C86022500	NA	A2C86398501	14				1404	housing assy	NA	ROH	NA	95.62	S1_WK_WD RFHUB_A.ADRIAN	NO	
561549	08/12/2014	ZSCR	551	034-2	NA	'015	A2C7395960192	NA	A2C7395960192	17				1342	pcb topSMD CHR UF 4-BTN bottom	NA	HALB	S.Real	801.72	S1_PASE FOB CUSW_A.ADRI	NO	
561550	08/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C3813640092	5				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	251.2	410098771_PASE F	NO	
561551	08/12/2014	ZSCR	551	034-2	NA	'015	A2C7395980192	NA	A2C7395980192	3				1342	pcb topSMD CHR UF 5-BTN top	NA	HALB	S.Real	150.54	S1_PASE FOB CUSW_A.ADRI	NO	
561553	08/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C8393050092	2				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L RS) B"""	QN410098771	HALB	S.Real	95.58	410098771_PASE F	NO	
561820	08/12/2014	ZSCR	551	050-5	NA	'015	A2C87408701	NA	A2C73751902	15				1505	transmitter CHR PASE 433 NV#05 4B	NA	HALB	S.Real	1420.95	S1_PASE FOB CUSW_A.ADRI	NO	
561820	08/12/2014	ZSCR	551	050-5	NA	'015	A2C73752902	NA	A2C73752902	97				1505	transmitter CHR PASE 433 GV#01 5B	NA	HALB	S.Real	9425.49	S1_PASE FOB CUSW_A.ADRI	NO	
561973	08/12/2014	ZSCR	551	034-2	NA	'015	68163903AB	NA	A2C73658000	5	3011	015	 	1342	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	1047.9	S1_TIPM LOGIC_P.PABLO P	NO	4985199819
561974	08/12/2014	ZSCR	551	042-4	NA	'015	68163903AB	NA	A2C73658000	1	3011	015	 	1424	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	209.58	S1_TIPM LOGIC_P.PABLO P	NO	4985199886
561975	08/12/2014	ZSCR	551	042-4	NA	'015	68163903AB	NA	A2C73658000	2	3011	015	 	1424	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	419.16	S1_TIPM LOGIC_P.PABLO P	NO	4985199886
561977	08/12/2014	ZSCR	551	040-3	NA	'015	68163903AB	NA	A2C73658000	4	3011	015	 	1403	module assy BCU TIPM 7Ci MY13	NA	HALB	S.Real	838.32	S1_TIPM LOGIC_P.PABLO P	NO	4985199869
561978	08/12/2014	ZSCR	551	050-5	NA	'015	A2C92629100	NA	A2C73753002	2				1505	transmitter CHR PASE 433 GV#04 5B	NA	HALB	S.Real	194.34	S1_PASE FOB CUSW_A.ADRI	NO	
562036	08/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7395960192	2				1104	pcb topSMD CHR UF 4-BTN bottom	QN410098771	HALB	S.Real	94.32	410098771_PASE F	NO	
562037	08/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C3813640092	6				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	301.44	410098771_PASE F	NO	
562038	08/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C3813640092	9				1104	"""SUB FOBIK PCB T-ASM, NA/EU(P U L T RS) B"""	QN410098771	HALB	S.Real	452.16	410098771_PASE F	NO	
562039	08/12/2014	MB1A	551	010-4	95000021	'015	NA	NA	A2C7441340092	3				1104	electronic assy PASE 433 Fiat E45 Bottom	QN410098771	HALB	S.Real	134.7	410098771_PASE F	NO	
562053	09/12/2014	ZSCR	551	034-2	NA	'015	A2C7395960192	NA	A2C7395960192	2				1342	pcb topSMD CHR UF 4-BTN bottom	NA	HALB	S.Real	94.32	S1_PASE FOB CUSW_A.ADRI	NO	
562078	09/12/2014	ZSCR	551	040-3	NA	'015	A2C8216760093	NA	A2C8216760093	2				1403	pcb assy Top	NA	HALB	S.Real	341.32	S1_WK_WD RFHUB_A.ADRIAN	NO	
562082	09/12/2014	ZSCR	551	034-1	NA	'015	A2C8016290093	NA	A2C8016290093	1				1341	pcb assy RKE 433 w/oKG Var#3 TOP	NA	HALB	S.Real	116.55	S1_RFHM CUSW_A.ADRIANA	NO	
